###########Obon Festival###########
EVTOPTA_jp_11;What a beautiful night.;;;;;;;;;;;;;x
EVTDESC_jp_12;The Hanami Festival comes to a close, as you return to your courtly affairs you reflect on your brief recess. You felt that this recess was as fleeting as the sakura petals in the wind but you know that they will come around every year and you will be there to watch its wonders once more.;;;;;;;;;;;;;x
EVTOPTA_jp_12;A most wonderous sight, indeed.;;;;;;;;;;;;;x

###########New Years Festival###########
held_new_years_festival_timer;Celebrating New Years;;;;;;;;;;;;;x
new_years_festival;The realm will prepare to herald the new year!;;;;;;;;;;;;;x
NEW_YEARS_FESTIVAL;A New Year...;;;;;;;;;;;;;x
festival_sinic1;Your court is abuzz with the coming Full-Moon which lingers joyously above. Your court astronomer has calculated tonight to be the start of the New Year. You recall in colorful detail the children's stories of each Zodiac. You retire early from court affairs as you make the trek home to see beloved relatives and family. On this joyous occassion it is customary to be in the presence of family where one trades gifts, food, and simple thanks in hopes for a bountiful year to come. You don your best silk dyed red to symbolize good-luck and good-fortune. The soft glow of the lantern streets and subtle instruments fill the air as the dusk sun fades from view.;;;;;;;;;;;;;x
EVTOPTB_festival1;Did I see a firework go off?;;;;;;;;;;;;;x

###########Ramuwan Festival###########
RAMUWANTITLE;The Feast of Martyrs;;;;;;;;;;;;;x
EVTDESC49ISLAMATE;The month of Ramuwan has come. It is time for us acars to seclude ourselves in the sang magik to pray and fast on behalf of the community. We are responsible for the entire community, any wrongdoings of the lay Cham is atoned by our fast and prayer.;;;;;;;;;;;;;x
EVTOPTA49ISLAMATE;May Po Awloah accept my prayers and fast, so that all may be forgiven.;;;;;;;;;;;;;x
EVTDESC50ISLAMATE;I fill my teapot with water and bring it out to the square where the other acars are performing wudu. I join them in ritual, pouring the water from the spout and cleansing myself. With my body now pure, I enter the sang magik.;;;;;;;;;;;;;x
EVTOPTA50ISLAMATE;Raising my hands to my ears, I begin my prayer;;;;;;;;;;;;;x
EVTOPTB50ISLAMATE;Praise yourself first!;;;;;;;;;;;;;x
EVTDESC51ISLAMATE;I begin to grow weak from the fasting, my fellow acars holding strong. As the drowsiness takes over, a thought overcomes me... "Should I break fast?";;;;;;;;;;;;;x
EVTOPTA51ISLAMATE;I am sorry...;;;;;;;;;;;;;x
EVTOPTB51ISLAMATE;I must strengthen my will.;;;;;;;;;;;;;x
EVTDESC52ISLAMATE;Sickness overcame me, It has become unbearable the others have come to guide me out of the Sang Magik. As you look back you feel a great sadness.;;;;;;;;;;;;;x
EVTOPTA52ISLAMATE;I am sorry...;;;;;;;;;;;;;x
EVTDESC53ISLAMATE;Following the examples of Po Acar of the past you have learn to hone yourself against the vice of Gluttony and shun excess in the name of the one God.;;;;;;;;;;;;;x
EVTOPTA53ISLAMATE;This must be a blessing!;;;;;;;;;;;;;x
EVTDESC54ISLAMATE;Following the examples of Po Acar of the past you have learn to hone yourself against the vice of Greed and shun wealth in the name of the one God.;;;;;;;;;;;;;x
EVTOPTA54ISLAMATE;This must be a blessing!;;;;;;;;;;;;;x
EVTDESC55ISLAMATE;An outbreak of War has dampened the mood of the festival period that it must postponed for this would confer ritual impurity upon the Sang Magik.;;;;;;;;;;;;;x
EVTOPTA55ISLAMATE;We can not bloody these sacred spaces...;;;;;;;;;;;;;x
EVTDESC56ISLAMATE;Sickness overcame me, It has become unbearable the others have come to guide me out of the Sang Magik. As you look back you feel a great sadness.;;;;;;;;;;;;;x
EVTOPTA56ISLAMATE;I am sorry...;;;;;;;;;;;;;x
EVTDESC57ISLAMATE;I light incense before the shrines of the Muk Kei praying for their safe passage to the beyond. Nao Ghur is the first of many rituals done during the month of Ramuwan where the spirits roam the land.;;;;;;;;;;;;;x
EVTOPTA57ISLAMATE;This Badien is dedicated to you...;;;;;;;;;;;;;x
EVTOPTB57ISLAMATE;Praise yourself first!;;;;;;;;;;;;;x
EVTDESC57ISLAMATE;The drum beats, signaling the breaking of fast. Women of our family brought us plates of food to eat. Badien are lit to protect the food from malevolent spirits. As we break our fast, we cover up plates which we have taken from. Since the food is communal, we only take our share and leave the rest to our families. The women bring the covered plates back home for our families to eat. The night is lively and the community is gathering at the sang magik.;;;;;;;;;;;;;x
EVTOPTA57ISLAMATE;Invite all the realm to celebrate!;;;;;;;;;;;;;x
EVTOPTB57ISLAMATE;Let's scale it down a bit...;;;;;;;;;;;;;x
EVTDESC58ISLAMATE;The drum beats, signaling the breaking of fast. Women of our family brought us plates of food to eat. Badien are lit to protect the food from malevolent spirits. As we break our fast, we cover up plates which we have taken from. Since the food is communal, we only take our share and leave the rest to our families. The women bring the covered plates back home for our families to eat. The night is lively and the community is gathering at the sang magik.;;;;;;;;;;;;;x
EVTOPTA58ISLAMATE;Invite all the realm to celebrate!;;;;;;;;;;;;;x
EVTOPTB58ISLAMATE;Let's scale it down a bit...;;;;;;;;;;;;;x
EVTDESC59ISLAMATE;It is the start of the gathering the community I should be partaking in this gathering of fellow peoples.;;;;;;;;;;;;;x
EVTOPTA59ISLAMATE;I shall join!;;;;;;;;;;;;;x
EVTOPTB59ISLAMATE;I rather not.;;;;;;;;;;;;;x
EVTDESC60ISLAMATE;Sorry but I have other obligations to attend to.;;;;;;;;;;;;;x
EVTOPTA60ISLAMATE;Drat.;;;;;;;;;;;;;x
EVTDESC61ISLAMATE;As more gather, the Ahier priests arrive. The Ahier priests greet us, bearing fruits and sweets to offer to Po Awloah. The Ahier priests begin praying to Po Awloah, professing his supremacy over all. In this month us Cham, the Bani and the Ahier, are united as one. Creed has no bearing on our brotherhood as we celebrate Ramuwan together as a singular community.;;;;;;;;;;;;;x
EVTOPTA61ISLAMATE;May Po Awloah's blessings be with the Cham.;;;;;;;;;;;;;x
EVTDESC62ISLAMATE;As more gather, the Ahier priests arrive. The Ahier priests greet us, bearing fruits and sweets to offer to Po Awloah. The Ahier priests begin praying to Po Awloah, professing his supremacy over all. In this month us Cham, the Bani and the Ahier, are united as one. Creed has no bearing on our brotherhood as we celebrate Ramuwan together as a singular community.;;;;;;;;;;;;;x
EVTOPTA62ISLAMATE;May Po Awloah's blessings be with the Cham.;;;;;;;;;;;;;x
EVTDESC63ISLAMATE;In the merriment of the moment your most beloved holds your shoulder singing you a soft melody in awe of the divine and the festive atmosphere. As you both look onwards her eyes lock upon you as you turn to hers. She seems to be expecting something...;;;;;;;;;;;;;x
EVTOPTA63ISLAMATE;To my beloved!;;;;;;;;;;;;;x
EVTOPTB63ISLAMATE;Please let us enjoy the night.;;;;;;;;;;;;;x
EVTDESC64ISLAMATE;A great hunger overwhelms you as you gorge yourself in the communal offerings much to the ire of the community who see your act as a manifestation of Greed.;;;;;;;;;;;;;x
EVTOPTA64ISLAMATE;Bah! Let them think that of me...;;;;;;;;;;;;;x
EVTDESC65ISLAMATE;A great reveler that you are you are overwhelmed by the atmosphere and throw yourself into a wild rush much to the ire of the community who see your act as a manifestation of Hedonism.;;;;;;;;;;;;;x
EVTOPTA65ISLAMATE;Bah! Let them think that of me...;;;;;;;;;;;;;x
EVTDESC66ISLAMATE;A great reveler that you are you are overwhelmed by the atmosphere that you partake in the libations and beer with great gusto much to the ire of the community who see your act as a foolish drunk.;;;;;;;;;;;;;x
EVTOPTA66ISLAMATE;Bah! Let them think that of me...;;;;;;;;;;;;;x
EVTDESC67ISLAMATE;You stand before the crowd calling for them to offer you tribute in spite of the festive atmosphere much to the ire of the community who see your act as a manifestation of Greed.;;;;;;;;;;;;;x
EVTOPTA67ISLAMATE;Bah! Let them think that of me...;;;;;;;;;;;;;x
EVTDESC68ISLAMATE;You stand before the crowd calling cup raised as you go into a speech that the community interprets as a slight against the divine much to the ire of the community who see your act as a foolish non-believer.;;;;;;;;;;;;;x
EVTOPTA68ISLAMATE;Bah! Let them think that of me...;;;;;;;;;;;;;x
EVTDESC68ISLAMATE;As the Month draws to the end, you return to your abode reflecting on the month of festivities feeling a sense of pride in the community and closeness with the One above as you lay your head upon the mat, you let out a broad smile.;;;;;;;;;;;;;x
EVTOPTA68ISLAMATE;May we all meet again next year!;;;;;;;;;;;;;x

EVTTOOLTIP69ISLAMATE;It is time to leave seclusion...;;;;;;;;;;;;;x

###Japan
SHOGATSU_FESTIVAL;Shogatsu Festival;;;;;;;;;;;;;x
held_shogatsu_festival_timer;Held Shogatsu Festival;;;;;;;;;;;;;x
shogatsu_festival;Preparations for the Shogatsu Festival begin.;;;;;;;;;;;;;x
festival_japanese1;As the year draws to a close, you retire to your chambers to contemplate on the celebrations to come. Every News Years in Japan, the Shogatsu Festival heralded in the News Years, a most joyous occassion that can be celebrated from the personal confidance of your family to the court and realm at large. As the night closes, you stroll towards the open screens where the moonlight dance on the lips of the window. In the peaceful moonlight, you ready your quill to begin inking invitations for most esteem guests.;;;;;;;;;;;;;x
EVTOPTA_festival1;The year’s end approaches.;;;;;;;;;;;;;x

EVTDESC_festival4;You have decided to organize an Shogatsu Festival in your realm. As no such celebration has any place being held quietly, you have invited all of your vassals.;;;;;;;;;;;;;x
EVTOPTA_festival4;Send the invitations!;;;;;;;;;;;;;x
EVTDESC_festival5;You have been invited to join [From.GetTitledFirstName] at the Shogatsu Festival this year, where traditional song and dance will be had for all.;;;;;;;;;;;;;x
EVTOPTA_festival5;I shall attend.;;;;;;;;;;;;;x
EVTOPTB_festival5;I don't think so...;;;;;;;;;;;;;x
shogatsu_festival_accepted;You attend the Shogatsu Festival.;;;;;;;;;;;;;x
shogatsu_festival_declined;Your liege is notified of your refusal.;;;;;;;;;;;;;x 
EVTDESC_festival6;[From.GetTitledFirstName] has refused your invitation to the Shogatsu Festival, claiming [From.GetSheHe] has other plans.;;;;;;;;;;;;;x
EVTOPTA_festival6;A likely excuse...;;;;;;;;;;;;;x
EVTDESC_festival7;The room is filled with the sounds of shuffling this way and that as last-minute arrangements for the veritable New Years feast is laid out. Soft music and the aroma of traditional foods accompany the hustle and bustle. A steady stream of guests take turns presenting you with New Years greetings. Finally, with preparations complete and most of the guests in their places, the merriment can begin. All in attendance raise their cups of sake. In a jovial voice you announce, “Kanpai!”;;;;;;;;;;;;;x
EVTOPTA_festival7;Cheers!;;;;;;;;;;;;;x
EVTDESC_festival8;The faces around you seem content, the atmosphere in the room warm and merry. Surveying the room, you see various groups playing games of cards. Some of the guests appear to have had a little too much to drink and have taken to singing famous songs of the era. Still others continue to eat, and some commotion draws your attention to a guest that nearly choked on mochi. All in all, a rather successful event to mark the end of the year and celebrate the coming of the new. Now that the feast is wrapping up, you must decide whether to continue the day with hatsumode, the first shrine visit of the year, or to retire to bed.;;;;;;;;;;;;;x
EVTOPTA_festival8;It would be wise to pay the gods a visit to start the New Year.;;;;;;;;;;;;;x
EVTOPTB_festival8;We can visit the shrines another time. Akemashite Omedeto!;;;;;;;;;;;;;x
EVTDESC_festival9;The party has comes to a close, and all of the guests begin to return to their homes. People are generally pleased with the celebrations this year.;;;;;;;;;;;;;x
EVTOPTA_festival9;Ah, a good time indeed.;;;;;;;;;;;;;x
EVTDESC_festivall0;The party has has come to a close. As you return home, you reflect on the high quality of this year's celebrations.;;;;;;;;;;;;;x
EVTOPTA_festivall0;I will make sure to come again next time...;;;;;;;;;;;;;x
A_FORTUNATE_TRIP;A Fortunate Trip...;;;;;;;;;;;;;x
EVTDESC_festival11;You arrive with your entourage to the first shrine of the new year with the distant ring of bells in your ear. You pass under the tall red Torii and climb the stone stairs to the main shrine grounds. Noting the crowds of fellow attendees, you make your way to the basin which brims with water. Taking hold of a bamboo ladle, you gingerly cleanse your hands and mouth and finally the handle of the ladle itself before placing it back upon the basin’s edge.;;;;;;;;;;;;;x
EVTOPTA_festival11;With ritual purification finished, you head towards the shrine itself.;;;;;;;;;;;;;x
EVTDESC_festival12;Before you lies the honden, the main building, itself. The saisen box sits before you while the ceremonial suzu bells hang from the eaves by a rope. Withdrawing a generous amount of coinage, you carefully throw them into the grated offering box. This done, you grasp a rope and ring the bell. You bow and clap twice, announcing your presence to the gods and silently clasp your hands together to make a prayer. After bowing once more, you walk away from the building.;;;;;;;;;;;;;x
EVTOPTA_festival12;Now to draw my fortune.;;;;;;;;;;;;;x
EVTDESC_festival13;After browsing through the shrine’s merchandise and buying various charms, it is finally time to draw your fortune. You pay the shrine attendant and reach your hand into the box before you, rifling through it for a moment before choosing a single folded paper. Withdrawing your omikuji, you step away to slowly unfold the parchment.;;;;;;;;;;;;;x
EVTOPTA_festival13;Does luck shine upon me..?;;;;;;;;;;;;;x
EVTDESC_festival14;Hazure! To your dismay the slip of paper gives various prophecies for you fortune throughout the year, and it doesn’t look good. Probably best to put important plans on hold until next year. With a sour face you fold the omikuji and tie it to a near by tree, adding to countless other less-than-lucky fortunes. Better luck next year!;;;;;;;;;;;;;x
EVTOPTA_festival14;Who knew they actually included such bad fortunes?;;;;;;;;;;;;;x
EVTDESC_festival15;Atari! To your great delight your omikuji details various prophecies about your life for the coming year, and all signs point to good fortune. It seems that it may be a year to set about on those grand plans you were considering. With a smile on your lips, you fold the paper back up and slip it into your pocket.;;;;;;;;;;;;;x
EVTOPTA_festival15;An offering is in order for the Seven Lucky Gods!;;;;;;;;;;;;;x
EVTDESC_festival16;Your visit has come to an end. With thoughts of what the future will bring still on your mind and bags of charms in your hands, your group walk down the stone path and back under the red gate of the Torii, signifying a return to the material world. You board an awaiting palanquin as the sound of bells chime and the occasional firework sounds off. Cheers to the New Year!;;;;;;;;;;;;;x
EVTOPTA_festival16;Akemashite Omedeto!;;;;;;;;;;;;;x
EVTTOOLTIP_jp_3;You send an invitation to the Shogatsu Festival.;;;;;;;;;;;;;x
