###########Cao Dai Pilgrimage Events###########
EVTOPT_reject_seance_balance;I will find a balance worth my merit.;;;;;;;;;;;;;x

EVTNAME_cao_dai_pilgrim_success;Successful Pilgrimage;;;;;;;;;;;;;x
EVTDESC_cao_dai_pilgrim_success;You return home from your pilgrimage, weary from the road but wiser for the journey. The Time in Tay Ninh was a once in a life time experience and for that you have gained much to contemplate, as well as knowledge that may aid you in the coming years.;;;;;;;;;;;;;x
EVTOPT_cao_dai_pilgrim_success;I feel closer to the Supreme...;;;;;;;;;;;;;x

###########Cao Dai Seances###########
EVTNAME_saint_joan;The Saint Joan d'Arc;;;;;;;;;;;;;x
EVTDESC_saint_joan;Jerking awake with fiery fervor, Emunating from their body is a young girl. Her voice seering in flames spoke much about faith in the lord, and how his mercy made her sacrifice for her country worth the pain she endured upon the pyre. "You must devote yourself to the Supreme Order, and it shall grant you entrance to the paradise you seek"...;;;;;;;;;;;;;x

EVTNAME_saint_moses;The Saint Moses;;;;;;;;;;;;;x
EVTDESC_saint_moses;Jerking awake with wisen stupor, Emunating from their body is a wise sage. His voice washes over you like a splitting tide. he spoke much about the lord, and how his suffering for the lord was for th redemption of his people. "You must devote yourself to the Supreme, and he shall grant you entrance to the paradise you seek"...;;;;;;;;;;;;;x

EVTNAME_saint_quanam;The Saint Quân Am;;;;;;;;;;;;;x
EVTDESC_saint_quanam;Jerking awake with soft touch of a lotus, Emunating from their body is a Buddha. Her voice soft as a mother's coo spoke much about her mission to allievate all the suffering in the world as did the Buddha before her and the Lord before both. "You must devote yourself to allievate suffering, so you and all the children of the world may find paradise"...;;;;;;;;;;;;;x

EVTNAME_saint_taibai;The Saint Ly Bach;;;;;;;;;;;;;x
EVTDESC_saint_taibai;Jerking awake with contemplative aura, Emunating from their body is a wise poet. His voice singing with a candence, regarding you as a peer in the great pursuit of wisdom in the endless dimension of timelessness for which the Supreme resides above all. He sings "Lift my head and see the moon; Lower my head and I miss my home."...;;;;;;;;;;;;;x

EVTNAME_saint_shakespeare;The Saint Shakespeare;;;;;;;;;;;;;x
EVTDESC_saint_shakespeare;Jerking awake with spirited jest, Emunating from their body is a gallavanting poet. His voice tinged in tragedies, regarding you as a peer in the great pursuit of wisdom in trying to understands humanity's true nature. He sings to a distant lyre "To be, or not to be, that is the question, that you should be asking...";;;;;;;;;;;;;x

EVTNAME_saint_victor_hugo;The Saint Victor Hugo;;;;;;;;;;;;;x
EVTDESC_saint_victor_hugo;Jerking awake with spirited jest, Emunating from their body is a romanticist preacher. His voice trembles with sweet nectar as he espouses the divine beauty of the world, casting out the dark abyss that seeks to divide by calling upon the world to unifying stating "Religions pass away, but God remains", untold wisdom held sacred to you...;;;;;;;;;;;;;x

EVTNAME_saint_muhammad;The Saint Muhammad;;;;;;;;;;;;;x
EVTDESC_saint_muhammad;Jerking awake with clairvoyance, Emunating from their body is a wise and powerful leader. His voice in kind demonstrates his wisdom and commanding presence, He speaks about the Lord's clear message and implores you to take note and memorize that message onto your heart. For through devotion alone can you unlock the means to redeem humanity.;;;;;;;;;;;;;x

EVTNAME_saint_quan_vu;The Saint Quan Vu;;;;;;;;;;;;;x
EVTDESC_saint_quan_vu;Jerking awake is the martial spirit of honor incarnate, Emunating from their body is a man whom exemplifies the perfection of form and vanquisher of demons, his stalwart defense for the honor of his fellow brothers have earned him the respect of all before the Celestial Heavens. A truer servant to the Lord than any other.;;;;;;;;;;;;;x

EVTNAME_saint_lenin;The Saint Lenin;;;;;;;;;;;;;x
EVTDESC_saint_lenin;Jerking awake with the spirit of the red fever, Emunating from their body is a man whom who saw the end of history, He beckons forth the ending of the chains that seperate the world and its people, to revolutionize the world in the image of the One Goal, One People, under no form of suffering, fully redeemed and a paradise on Earth.;;;;;;;;;;;;;x

EVTNAME_saint_sun_yatsen;The Saint Sun Yat-Sen;;;;;;;;;;;;;x
EVTDESC_saint_sun_yatsen;Jerking awake is an individualist color, Emunating from their body is a man whom built the nation anew to restore balance to an unfair situation, The three principles he laid to form a better society in emulation of the Supremes grand redemption of humanity.;;;;;;;;;;;;;x

EVTNAME_saint_bien_khiem;The Saint Binh Khiêm;;;;;;;;;;;;;x
EVTDESC_saint_bien_khiem;Jerking awake is a tired but stalwart soul, Emunating from their body is a man whom held a country together through planning, with more still believing him a man with the claryovant foresight to see into the future. As you strive to emulate his sight you are reminded about the all knowing Lord, for he must have given the man his visions.;;;;;;;;;;;;;x

EVTNAME_saint_pasteur;The Saint Louis Pasteur;;;;;;;;;;;;;x
EVTDESC_saint_pasteur;Jerking awake is a man devoted to the internal understanding of the body. Emunating from their body is a man whom saw the divine touch of the Supreme through his research to balance the spirit of humanity with the weakening flesh wrought with disease. He speaks about how all life sprung from a pot and thus all life should be held holy and divine under god.;;;;;;;;;;;;;x
